 country ,year, pop , gdp , gdp_per_cap , gdp_per_cap_sq , im , im_millions , ex , IM + EX , ex_millions , nx_gdp , lndarea , lndarea_per_cap , co2_millions_tonnes , n2o_millions_tonnes , so2_millions_tonnes , co2 , n2o , so2 , co2_per_cap ,ocean,democ,autoc,polity
 Algeria  ,2013,"38,000,626.00","497,988,213,510.83","13,104.74","171,734,134.56","55,028,000,000.00","55,028.00","64,974,000,000.00","120,002,000,000.00","64,974.00",0.24,2381740.00,0.062676,140.79,10.92,51.92,"140,786,000.00","10,920,000.00","51,919,000.00",3.7,0,3,1,2
 Algeria  ,2014,"38,760,168.00","506,135,102,251.57","13,058.12","170,514,617.39","58,580,000,000.00","58,580.00","60,062,000,000.00","118,642,000,000.00","60,062.00",0.23,2381740.00,0.061448,151.28,11.72,52.89,"151,283,000.00","11,720,000.00","52,885,000.00",3.9,0,3,1,2
 Algeria  ,2015,"39,543,154.00","477,357,607,218.84","12,071.81","145,728,697.62","51,701,000,000.00","51,701.00","34,668,000,000.00","86,369,000,000.00","34,668.00",0.18,2381740.00,0.060231,160.09,12.32,55.59,"160,087,000.00","12,320,000.00","55,590,000.00",4.05,0,3,1,2
 Algeria  ,2016,"40,339,329.00","471,383,269,260.92","11,685.45","136,549,774.84","47,089,000,000.00","47,089.00","30,027,000,000.00","77,116,000,000.00","30,027.00",0.16,2381740.00,0.059043,158.75,12.32,54.63,"158,748,000.00","12,320,000.00","54,627,000.00",3.94,0,3,1,2
 Algeria  ,2017,"41,136,546.00","485,801,342,039.05","11,809.48","139,463,889.52","46,059,000,000.00","46,059.00","35,191,000,000.00","81,250,000,000.00","35,191.00",0.17,2381740.00,0.057898,166.41,12.45,55.31,"166,411,000.00","12,450,000.00","55,308,000.00",4.05,0,3,1,2
 Algeria  ,2018,"41,927,007.00","503,376,075,289.46","12,006.01","144,144,281.83","46,330,000,000.00","46,330.00","41,797,000,000.00","88,127,000,000.00","41,797.00",0.18,2381740.00,0.056807,173.91,12.51,54.92,"173,912,000.00","12,510,000.00","54,922,000.00",4.15,0,3,1,2
 Algeria  ,2019,"42,705,368.00","517,503,841,619.24","12,118.00","146,846,033.07","41,934,000,000.00","41,934.00","35,824,000,000.00","77,758,000,000.00","35,824.00",0.15,2381740.00,0.055771,179.51,12.63,59.16,"179,505,000.00","12,630,000.00","59,158,000.00",4.2,0,3,1,2
 Algeria  ,2020,"43,451,666.00","497,030,187,569.08","11,438.69","130,843,655.35","34,392,000,000.00","34,392.00","23,797,000,000.00","58,189,000,000.00","23,797.00",0.12,2381740.00,0.054814,172.5,12.63,54.54,"172,504,000.00","12,630,000.00","54,540,000.00",3.97,0,3,1,2
 Algeria  ,2021,"44,177,969.00","535,802,556,587.49","12,128.27","147,095,054.26","36,100,000,000.00","36,100.00","37,100,000,000.00","73,200,000,000.00","37,100.00",0.14,2381740.00,0.053912,176.27,12.63,56.02,"176,269,000.00","12,630,000.00","56,021,000.00",3.99,0,3,1,2
 Angola ,2011,"24,259,111.00","162,538,811,659.18","6,700.11","44,891,528.95","20,228,000,000.00","20,228.00","67,310,000,000.00","87,538,000,000.00","67,310.00",0.54,1246700.00,0.051391,30.33,24.64,14.35,"30,330,000.00","24,640,000.00","14,345,000.00",1.25,0,2,4,-2
 Angola ,2012,"25,188,292.00","186,124,222,897.17","7,389.31","54,601,975.58","23,717,000,000.00","23,717.00","71,093,000,000.00","94,810,000,000.00","71,093.00",0.51,1246700.00,0.049495,25.54,24.13,17.27,"25,540,000.00","24,130,000.00","17,268,000.00",1.01,0,2,4,-2
 Angola ,2013,"26,147,002.00","199,865,642,365.20","7,643.92","58,429,542.69","26,331,000,000.00","26,331.00","68,247,000,000.00","94,578,000,000.00","68,247.00",0.47,1246700.00,0.04768,24.72,24.04,17.44,"24,719,000.00","24,040,000.00","17,441,000.00",0.95,0,2,4,-2
 Angola ,2014,"27,128,337.00","220,364,785,384.77","8,123.05","65,983,909.87","28,580,000,000.00","28,580.00","59,170,000,000.00","87,750,000,000.00","59,170.00",0.4,1246700.00,0.045956,25.15,23.77,17.48,"25,148,000.00","23,770,000.00","17,479,000.00",0.93,0,2,4,-2
 Angola ,2015,"28,127,721.00","204,603,587,403.35","7,274.09","52,912,392.24","20,693,000,000.00","20,693.00","33,181,000,000.00","53,874,000,000.00","33,181.00",0.26,1246700.00,0.044323,25.53,24.98,17.3,"25,531,000.00","24,980,000.00","17,298,000.00",0.91,0,2,4,-2
 Angola ,2016,"29,154,746.00","204,874,675,222.88","7,027.15","49,380,789.82","13,040,000,000.00","13,040.00","27,589,000,000.00","40,629,000,000.00","27,589.00",0.2,1246700.00,0.042761,27.21,24.61,15.92,"27,210,000.00","24,610,000.00","15,916,000.00",0.93,0,2,4,-2
 Angola ,2017,"30,208,628.00","217,987,313,632.16","7,216.06","52,071,541.73","14,463,000,000.00","14,463.00","34,613,000,000.00","49,076,000,000.00","34,613.00",0.23,1246700.00,0.04127,24.3,26.32,14.59,"24,304,000.00","26,320,000.00","14,592,000.00",0.8,0,2,4,-2
 Angola ,2018,"31,273,533.00","220,257,110,789.12","7,042.92","49,602,776.06","15,798,000,000.00","15,798.00","40,758,000,000.00","56,556,000,000.00","40,758.00",0.26,1246700.00,0.039864,22.78,21.67,14.87,"22,779,000.00","21,670,000.00","14,874,000.00",0.73,0,2,4,-2
 Angola ,2019,"32,353,588.00","222,627,505,703.58","6,881.08","47,349,210.24","14,127,000,000.00","14,127.00","34,726,000,000.00","48,853,000,000.00","34,726.00",0.22,1246700.00,0.038534,21.82,25.69,13.89,"21,818,000.00","25,690,000.00","13,894,000.00",0.67,0,2,4,-2
 Angola ,2020,"33,428,486.00","212,693,291,002.49","6,362.64","40,483,137.84","9,543,000,000.00","9,543.00","20,937,000,000.00","30,480,000,000.00","20,937.00",0.14,1246700.00,0.037295,20.28,25.69,13.1,"20,276,000.00","25,690,000.00","13,103,000.00",0.61,0,2,4,-2
 Angola ,2021,"34,503,774.00","223,968,329,962.47","6,491.13","42,134,711.27","11,795,000,000.00","11,795.00","33,581,000,000.00","45,376,000,000.00","33,581.00",0.2,1246700.00,0.036132,21.36,25.69,13.9,"21,363,000.00","25,690,000.00","13,902,000.00",0.62,0,2,4,-2
 Argentina ,2011,"41,261,490.00","797,263,881,242.04","19,322.23","373,348,461.02","73,962,000,000.00","73,962.00","82,980,000,000.00","156,942,000,000.00","82,980.00",0.2,2736690.00,0.066326,190.27,42.74,86.91,"190,274,000.00","42,740,000.00","86,908,000.00",4.61,1,8,0,8
 Argentina ,2012,"41,733,271.00","819,697,901,873.04","19,641.35","385,782,742.32","67,976,000,000.00","67,976.00","79,982,000,000.00","147,958,000,000.00","79,982.00",0.18,2736690.00,0.065576,191.29,42.24,85.59,"191,292,000.00","42,240,000.00","85,587,000.00",4.58,1,8,0,8
 Argentina ,2013,"42,202,935.00","849,616,000,404.32","20,131.68","405,284,556.72","74,442,000,000.00","74,442.00","75,964,000,000.00","150,406,000,000.00","75,964.00",0.18,2736690.00,0.064846,189.54,44.01,87.49,"189,538,000.00","44,010,000.00","87,487,000.00",4.49,1,8,0,8
 Argentina ,2014,"42,669,500.00","839,896,688,260.09","19,683.77","387,450,860.69","65,735,000,000.00","65,735.00","68,405,000,000.00","134,140,000,000.00","68,405.00",0.16,2736690.00,0.064137,188.4,43.9,84.29,"188,397,000.00","43,900,000.00","84,292,000.00",4.42,1,8,0,8
 Argentina ,2015,"43,131,966.00","867,176,759,338.26","20,105.20","404,219,026.50","60,205,000,000.00","60,205.00","56,784,000,000.00","116,989,000,000.00","56,784.00",0.13,2736690.00,0.063449,191.74,43.62,86.95,"191,744,000.00","43,620,000.00","86,954,000.00",4.45,1,8,0,8
 Argentina ,2016,"43,590,368.00","885,227,528,869.05","20,307.87","412,409,586.05","55,852,000,000.00","55,852.00","57,910,000,000.00","113,762,000,000.00","57,910.00",0.13,2736690.00,0.062782,189.92,46.55,84.56,"189,920,000.00","46,550,000.00","84,556,000.00",4.36,1,8,0,8
 Argentina ,2017,"44,044,811.00","1,039,330,591,568.54","23,597.12","556,823,966.24","66,937,000,000.00","66,937.00","58,644,000,000.00","125,581,000,000.00","58,644.00",0.12,2736690.00,0.062134,186.9,49.38,80.86,"186,899,000.00","49,380,000.00","80,856,000.00",4.24,1,8,0,8
 Argentina ,2018,"44,494,502.00","1,036,307,018,234.46","23,290.68","542,455,576.36","65,482,000,000.00","65,482.00","61,781,000,000.00","127,263,000,000.00","61,781.00",0.12,2736690.00,0.061506,180.6,48.28,74.39,"180,599,000.00","48,280,000.00","74,392,000.00",4.06,1,8,0,8
 Argentina ,2019,"44,938,712.00","1,033,737,648,272.56","23,003.28","529,150,761.04","49,124,000,000.00","49,124.00","65,116,000,000.00","114,240,000,000.00","65,116.00",0.11,2736690.00,0.060898,178.51,48.61,74.85,"178,512,000.00","48,610,000.00","74,848,000.00",3.97,1,8,0,8
 Argentina ,2020,"45,376,763.00","942,170,823,764.89","20,763.29","431,114,151.53","42,354,000,000.00","42,354.00","54,884,000,000.00","97,238,000,000.00","54,884.00",0.1,2736690.00,0.06031,169.26,48.61,70.91,"169,263,000.00","48,610,000.00","70,913,000.00",3.73,1,8,0,8
 Argentina ,2021,"45,808,747.00","1,083,361,763,233.00","23,649.67","559,306,905.12","63,185,000,000.00","63,185.00","77,935,000,000.00","141,120,000,000.00","77,935.00",0.13,2736690.00,0.059742,186.45,48.61,80.31,"186,448,000.00","48,610,000.00","80,309,000.00",4.07,1,8,0,8
 Armenia ,2011,"2,928,976.00","23,085,520,248.37","7,881.77","62,122,325.68","4,152,000,000.00","4,152.00","1,331,000,000.00","5,483,000,000.00","1,331.00",0.24,28470.00,0.00972,4.97,0.8,0.94,"4,969,000.00","800,000.00","942,000.00",1.7,0,5,0,5
 Armenia ,2012,"2,914,421.00","27,009,096,448.54","9,267.40","85,884,647.26","4,263,000,000.00","4,263.00","1,380,000,000.00","5,643,000,000.00","1,380.00",0.21,28470.00,0.009769,5.75,0.96,0.9,"5,748,000.00","960,000.00","898,000.00",1.97,0,5,0,5
 Armenia ,2013,"2,901,385.00","28,500,152,360.14","9,822.95","96,490,296.42","4,478,000,000.00","4,478.00","1,480,000,000.00","5,958,000,000.00","1,480.00",0.21,28470.00,0.009813,5.54,1.02,0.85,"5,535,000.00","1,020,000.00","854,000.00",1.91,0,5,0,5
 Armenia ,2014,"2,889,930.00","29,231,468,082.42","10,114.94","102,312,007.90","4,401,000,000.00","4,401.00","1,520,000,000.00","5,921,000,000.00","1,520.00",0.2,28470.00,0.009851,5.6,0.98,0.86,"5,604,000.00","980,000.00","864,000.00",1.94,0,5,0,5
 Armenia ,2015,"2,878,595.00","29,166,842,740.54","10,132.32","102,663,887.82","3,239,000,000.00","3,239.00","1,485,000,000.00","4,724,000,000.00","1,485.00",0.16,28470.00,0.00989,5.47,1.09,0.8,"5,469,000.00","1,090,000.00","798,000.00",1.9,0,5,0,5
 Armenia ,2016,"2,865,835.00","31,429,192,104.40","10,966.85","120,271,871.90","3,273,000,000.00","3,273.00","1,791,000,000.00","5,064,000,000.00","1,791.00",0.16,28470.00,0.009934,5.2,1.62,0.81,"5,203,000.00","1,620,000.00","807,000.00",1.82,0,5,0,5
 Armenia ,2017,"2,851,923.00","35,676,528,915.44","12,509.64","156,491,083.08","4,190,000,000.00","4,190.00","2,246,000,000.00","6,436,000,000.00","2,246.00",0.18,28470.00,0.009983,5.54,1.22,0.87,"5,540,000.00","1,220,000.00","869,000.00",1.94,0,5,0,5
 Armenia ,2018,"2,836,557.00","38,428,345,021.38","13,547.53","183,535,607.00","4,964,000,000.00","4,964.00","2,412,000,000.00","7,376,000,000.00","2,412.00",0.19,28470.00,0.010037,5.83,1.17,0.83,"5,826,000.00","1,170,000.00","828,000.00",2.05,0,5,0,5
 Armenia ,2019,"2,820,602.00","42,088,513,415.31","14,921.82","222,660,691.79","5,513,000,000.00","5,513.00","2,641,000,000.00","8,154,000,000.00","2,641.00",0.19,28470.00,0.010094,6.28,1.27,1.04,"6,284,000.00","1,270,000.00","1,044,000.00",2.23,0,5,0,5
 Armenia ,2020,"2,805,608.00","39,528,882,705.71","14,089.24","198,506,666.18","4,559,000,000.00","4,559.00","2,545,000,000.00","7,104,000,000.00","2,545.00",0.18,28470.00,0.010148,6.43,1.27,0.92,"6,431,000.00","1,270,000.00","920,000.00",2.29,0,5,0,5
 Armenia ,2021,"2,790,974.00","43,518,226,807.95","15,592.49","243,125,661.97","5,356,000,000.00","5,356.00","3,024,000,000.00","8,380,000,000.00","3,024.00",0.19,28470.00,0.010201,6.81,1.27,0.99,"6,806,000.00","1,270,000.00","992,000.00",2.44,0,5,0,5
 Australia ,2011,"22,340,024.00","938,685,763,296.04","42,018.12","1,765,522,235.53","206,521,260,000.00","206,521.26","270,386,000,000.00","476,907,260,000.00","270,386.00",0.51,7682300.00,0.343881,403.83,107.71,129.81,"403,829,000.00","107,710,000.00","129,808,000.00",18.08,1,10,0,10
 Australia ,2012,"22,733,465.00","974,067,520,931.88","42,847.30","1,835,890,838.49","221,589,880,000.00","221,589.88","256,412,000,000.00","478,001,880,000.00","256,412.00",0.49,7682300.00,0.337929,406.15,107.36,133.68,"406,151,000.00","107,360,000.00","133,684,000.00",17.87,1,10,0,10
 Australia ,2013,"23,128,129.00","1,061,760,472,330.27","45,907.75","2,107,521,939.72","224,391,720,000.00","224,391.72","252,644,000,000.00","477,035,720,000.00","252,644.00",0.45,7682300.00,0.332163,397.89,64.44,136.18,"397,887,000.00","64,440,000.00","136,181,000.00",17.2,1,10,0,10
 Australia ,2014,"23,475,686.00","1,100,591,467,474.11","46,882.19","2,197,939,323.98","230,293,860,000.00","230,293.86","239,974,000,000.00","470,267,860,000.00","239,974.00",0.43,7682300.00,0.327245,393.95,76.46,137.6,"393,953,000.00","76,460,000.00","137,599,000.00",16.78,1,10,0,10
 Australia ,2015,"23,815,995.00","1,101,523,317,981.86","46,251.41","2,139,192,805.34","242,727,360,000.00","242,727.36","187,686,000,000.00","430,413,360,000.00","187,686.00",0.39,7682300.00,0.322569,401.79,72.5,137.63,"401,793,000.00","72,500,000.00","137,629,000.00",16.87,1,10,0,10
 Australia ,2016,"24,190,907.00","1,143,006,683,418.89","47,249.43","2,232,509,090.36","236,263,900,000.00","236,263.90","192,506,000,000.00","428,769,900,000.00","192,506.00",0.38,7682300.00,0.31757,411.26,58.23,137.38,"411,264,000.00","58,230,000.00","137,375,000.00",17,1,10,0,10
